city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.74,-90.35,78.8,65,40,19.46,EC,1593452591
1,kaitangata,-46.28,169.85,44.01,75,94,7.0,NZ,1593452780
2,broome,42.25,-75.83,80.01,50,20,14.99,US,1593452598
3,whyalla,-33.03,137.58,46.4,52,1,10.29,AU,1593452780
4,mount gambier,-37.83,140.77,46.4,81,53,9.17,AU,1593452780
5,rikitea,-23.12,-134.97,68.65,54,96,14.61,PF,1593452781
6,punta arenas,-53.15,-70.92,30.2,86,40,4.7,CL,1593452781
7,dikson,73.51,80.55,47.71,77,23,19.01,RU,1593452781
8,talnakh,69.49,88.4,59.0,67,97,11.18,RU,1593452608
9,borkenes,68.77,16.17,51.8,71,20,26.4,NO,1593452781
10,tuktoyaktuk,69.45,-133.04,50.0,61,40,6.93,CA,1593452781
11,sehithwa,-20.47,22.72,60.8,29,0,7.58,BW,1593452781
12,kasama,-10.21,31.18,62.28,58,37,4.14,ZM,1593452782
13,ushuaia,-54.8,-68.3,33.8,74,75,8.05,AR,1593452569
14,butaritari,3.07,172.79,83.05,64,98,7.67,KI,1593452782
15,vila franca do campo,37.72,-25.43,69.8,88,40,11.41,PT,1593452782
16,tatawin,32.93,10.45,96.8,30,0,11.41,TN,1593452782
17,agropoli,40.35,15.0,80.6,69,0,5.82,IT,1593452782
18,avarua,-21.21,-159.78,73.4,83,78,21.92,CK,1593452715
19,mataura,-46.19,168.86,39.0,83,96,3.0,NZ,1593452783
20,atuona,-9.8,-139.03,79.9,77,10,15.97,PF,1593452783
21,albany,42.6,-73.97,82.0,65,19,6.69,US,1593452783
22,khatanga,71.97,102.5,77.04,50,37,8.75,RU,1593452783
23,saint george,37.1,-113.58,77.0,25,40,3.36,US,1593452710
24,waddan,29.16,16.14,92.68,16,0,10.65,LY,1593452784
25,mattru,7.62,-11.83,77.61,91,85,5.17,SL,1593452784
26,arlit,18.74,7.39,100.56,15,26,7.31,NE,1593452784
27,qaanaaq,77.48,-69.36,43.9,63,0,2.04,GL,1593452784
28,muzhi,65.37,64.67,47.07,80,100,13.6,RU,1593452784
29,pevek,69.7,170.31,32.52,94,31,1.88,RU,1593452568
30,barrow,71.29,-156.79,41.0,80,1,14.99,US,1593452785
